institution_name,fips_state_code,longitude,latitude,total_enrollment,full-time_enrollment,part-time_enrollment,control,level
Baptist Bible College,Missouri,-93.284286,37.239696,256.0,218.0,38.0,Private not-for-profit,4-year or above
Baptist Health College Little Rock,Arkansas,-92.40692,34.713115,648.0,588.0,60.0,Private not-for-profit,2-year
Baptist Health System School of Health Professions,Texas,-98.567486,29.517063,649.0,606.0,43.0,Private for-profit,4-year or above
Baptist Memorial College of Health Sciences,Tennessee,-90.027501,35.138415,1064.0,494.0,570.0,Private not-for-profit,4-year or above
Baptist Missionary Association Theological Seminary,Texas,-95.255524,31.978961,141.0,34.0,107.0,Private not-for-profit,4-year or above
Baptist University of the Americas,Texas,-98.546081,29.34998,154.0,113.0,41.0,Private not-for-profit,4-year or above
Barclay College,Kansas,-99.105351,37.62012,243.0,197.0,46.0,Private not-for-profit,4-year or above
Bard College,New York,-73.909927,42.020386,2207.0,2121.0,86.0,Private not-for-profit,4-year or above
Bard College at Simon's Rock,Massachusetts,-73.379201,42.208803,396.0,385.0,11.0,Private not-for-profit,4-year or above
Barnard College,New York,-73.963346,40.810098,2562.0,2519.0,43.0,Private not-for-profit,4-year or above
Barnes-Jewish College Goldfarb School of Nursing,Missouri,-90.258772,38.637165,634.0,629.0,5.0,Private not-for-profit,4-year or above
Barry University,Florida,-80.198925,25.878908,7186.0,5126.0,2060.0,Private not-for-profit,4-year or above
Barstow Community College,California,-117.023412,34.870285,3052.0,1186.0,1866.0,Public,2-year
Barton College,North Carolina,-77.91386700000002,35.734376,1059.0,973.0,86.0,Private not-for-profit,4-year or above
Barton County Community College,Kansas,-98.731648,38.403529,4237.0,890.0,3347.0,Public,2-year
Bastyr University,Washington,-122.251708,47.729935,1098.0,919.0,179.0,Private not-for-profit,4-year or above
Bates College,Maine,-70.203333,44.105299,1832.0,1832.0,0.0,Private not-for-profit,4-year or above
Bates Technical College,Washington,-122.44683,47.251743,4445.0,2033.0,2412.0,Public,2-year
Baton Rouge Community College,Louisiana,-91.137935,30.448276,8242.0,4020.0,4222.0,Public,2-year
Baton Rouge School of Computers,Louisiana,-91.080837,30.422155,58.0,36.0,22.0,Private for-profit,2-year
Bay de Noc Community College,Michigan,-87.085228,45.772586,1935.0,718.0,1217.0,Public,2-year
Bay Mills Community College,Michigan,-84.607089,46.454584,477.0,192.0,285.0,Public,4-year or above
Bay Path University,Massachusetts,-72.583382,42.055088,3444.0,1955.0,1489.0,Private not-for-profit,4-year or above
Bay State College,Massachusetts,-71.076991,42.35176,700.0,369.0,331.0,Private for-profit,4-year or above
Baylor University,Texas,-97.121041,31.546872,17217.0,16451.0,766.0,Private not-for-profit,4-year or above
Be'er Yaakov Talmudic Seminary,New York,-74.028425,41.13905,569.0,569.0,0.0,Private not-for-profit,4-year or above
Beacon College,Florida,-81.87415,28.811281,400.0,385.0,15.0,Private not-for-profit,4-year or above
Beal College,Maine,-68.785428,44.786465,207.0,169.0,38.0,Private for-profit,2-year
Beaufort County Community College,North Carolina,-76.96535,35.533587,1543.0,461.0,1082.0,Public,2-year
Becker College,Massachusetts,-71.811894,42.269171,1839.0,1478.0,361.0,Private not-for-profit,4-year or above
Beckfield College-Florence,Kentucky,-84.641475,39.017166,687.0,303.0,384.0,Private for-profit,4-year or above
Beis Medrash Heichal Dovid,New York,-73.751633,40.596845,125.0,125.0,0.0,Private not-for-profit,4-year or above
Bel-Rea Institute of Animal Technology,Colorado,-104.876207,39.686194,275.0,275.0,0.0,Private for-profit,2-year
Belanger School of Nursing,New York,-73.91588399999998,42.802979,105.0,21.0,84.0,Private not-for-profit,2-year
Belhaven University,Mississippi,-90.169228,32.318415,4205.0,1188.0,3017.0,Private not-for-profit,4-year or above
Bellarmine University,Kentucky,-85.70499699999998,38.219279,3369.0,2762.0,607.0,Private not-for-profit,4-year or above
Bellevue College,Washington,-122.150118,47.584014,13226.0,6866.0,6360.0,Public,4-year or above
Bellevue University,Nebraska,-95.91764,41.150225,9621.0,5586.0,4035.0,Private not-for-profit,4-year or above
Bellin College,Wisconsin,-87.921722,44.468277,477.0,270.0,207.0,Private not-for-profit,4-year or above
Bellingham Technical College,Washington,-122.51216,48.766189,2316.0,1441.0,875.0,Public,4-year or above
Belmont Abbey College,North Carolina,-81.041315,35.260651,1556.0,1440.0,116.0,Private not-for-profit,4-year or above
Belmont College,Ohio,-80.964901,40.07695,982.0,462.0,520.0,Public,2-year
Belmont University,Tennessee,-86.79480699999998,36.135589,8260.0,7521.0,739.0,Private not-for-profit,4-year or above
Beloit College,Wisconsin,-89.029285,42.504022,1275.0,1228.0,47.0,Private not-for-profit,4-year or above
Bemidji State University,Minnesota,-94.874119,47.482341,5111.0,3352.0,1759.0,Public,4-year or above
Benedict College,South Carolina,-81.020403,34.012941,2165.0,2114.0,51.0,Private not-for-profit,4-year or above
Benedictine College,Kansas,-95.111473,39.572646,2124.0,1974.0,150.0,Private not-for-profit,4-year or above
Benedictine University,Illinois,-88.097307,41.777569,4940.0,2737.0,2203.0,Private not-for-profit,4-year or above
Benjamin Franklin Institute of Technology,Massachusetts,-71.070231,42.346023,630.0,476.0,154.0,Private not-for-profit,4-year or above
Bennett College,North Carolina,-79.77998000000002,36.067531,534.0,463.0,71.0,Private not-for-profit,4-year or above
Bennington College,Vermont,-73.237799,42.919547,811.0,780.0,31.0,Private not-for-profit,4-year or above
Bentley University,Massachusetts,-71.22283900000002,42.385995,5460.0,4879.0,581.0,Private not-for-profit,4-year or above
Berea College,Kentucky,-84.292893,37.57202,1673.0,1631.0,42.0,Private not-for-profit,4-year or above
Bergen Community College,New Jersey,-74.08880400000002,40.951782,13352.0,7320.0,6032.0,Public,2-year
